Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Поліський квартал,60,Slavutych,,Kyivs'ka oblast,07101,Ukraine,51.5218152,30.7634156
Soborna Street,42-46,Tetiiv,Tetiivs'kyi district,Kyivs'ka oblast,09800,Ukraine,49.3699778,29.6811828
Bohdana Khmel'nyts'koho Street,296,Pereiaslav,,Kyivs'ka oblast,08400,Ukraine,50.0741076,31.3989168
вулиця Наддніпрянська,10,Vytachiv,Obukhiv Raion,Kyivs'ka oblast,08740,Ukraine,50.1068124,30.8856781
Stavyshchens'ka Street,2,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.7875801,30.1118027
Soborna Street,19,Tetiiv,Tetiivs'kyi district,Kyivs'ka oblast,09801,Ukraine,49.3701697,29.6826696
Обухівське шосе,50,Kozyn,Obukhiv Raion,Kyivs'ka oblast,08711,Ukraine,50.2245101,30.6442203
Vulytsya Kyyivsʹka,99,Hrebinky,Vasyl'kivs'kyi district,Kyivs'ka oblast,08662,Ukraine,49.9538932,30.1774545
Обуховское шоссе,6,Khodosivka,Kyjevo-Svyatoshyns'kyi district,Kyivs'ka oblast,08173,Ukraine,50.2748116,30.5341164
Vulytsya Kyyivsʹka,155,Hrebinky,Vasyl'kivs'kyi district,Kyivs'ka oblast,08662,Ukraine,49.9446728,30.1818643
Bulʹvar Oleksandriysʹkyy,179,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.8140077,30.0783785
Tarashchans'ka Street,2,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.7723748,30.1232904
Chelyuskintsiv Street,98,Fastiv,,Kyivs'ka oblast,08500,Ukraine,50.0583718,29.885287
Chkalova Street,11,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.8098335,30.0843968
Vulytsya Tsentralʹna,15,Baryshivka,Baryshivs'kyi district,Kyivs'ka oblast,07501,Ukraine,50.3651724,31.3319219
Torhova Square,3,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.7964557,30.1143836
Shevchenka Street,7,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.7945681,30.1176514
вулиця Молодіжна,21,Velyki Yerchyky,Skvyrs'kyi district,Kyivs'ka oblast,09024,Ukraine,49.792153,29.6319512
Pidlisna Street,32,Yasnohorodka,Makarivs'kyi district,Kyivs'ka oblast,08061,Ukraine,50.3683258,30.032462
Bohdana Khmel'nyts'koho Street,55,Pereiaslav,,Kyivs'ka oblast,08400,Ukraine,50.0723223,31.4629025
Vernads'koho Street,3,Bila Tserkva,,Kyivs'ka oblast,09106,Ukraine,49.7739341,30.128125
центральна,50,Usivka,Zhurivs'kyi district,Kyivs'ka oblast,07613,Ukraine,50.5207385,31.6871332
Nezalezhnosti Street,130,Yahotyn,Yahotyns'kyi district,Kyivs'ka oblast,07701,Ukraine,50.2793367,31.7625451
Lenina Street,45,Kalyta,Brovars'kyi district,Kyivs'ka oblast,07421,Ukraine,50.7506481,31.0205331
Lesya Kurbasa Street,9,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.794934,30.1128924
Vulytsya Kyyivsʹka,198,Hlevakha,Vasyl'kivs'kyi district,Kyivs'ka oblast,08630,Ukraine,50.280782,30.34434
Vul. Zaporizʹka,23,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.8012567,30.099621
Chopovsʹkoho Vulytsya,34,Litky,Brovars'kyi district,Kyivs'ka oblast,07411,Ukraine,50.6969147,30.7261969
Puhachova Street,1,Pereiaslav,,Kyivs'ka oblast,08400,Ukraine,50.0695327,31.4435833
Bulʹvar Oleksandriysʹkyy,155,Bila Tserkva,,Kyivs'ka oblast,09100,Ukraine,49.8123703,30.0849153
Vulytsya Havryyila Muzychenka,6,Litky,Brovars'kyi district,Kyivs'ka oblast,07411,Ukraine,50.710349,30.7429553
вул.Боровкова,81,Pidhirtsi,Obukhiv Raion,Kyivs'ka oblast,08710,Ukraine,50.246248,30.5592394
Vyshneva Street,36,Lisnyky,Kyjevo-Svyatoshyns'kyi district,Kyivs'ka oblast,08172,Ukraine,50.3128865,30.5186462
vulytsia Kyivska,2,Sofiivska Borshchahivka,Kyjevo-Svyatoshyns'kyi district,Kyivs'ka oblast,08131,Ukraine,50.4112565,30.384405
вулиця Миколи Лисенка,2,Rozhny,Brovars'kyi district,Kyivs'ka oblast,07412,Ukraine,50.6813171,30.7243723
Bohdana Khmel'nyts'koho Street,182,Pereiaslav,,Kyivs'ka oblast,08400,Ukraine,50.0688247,31.4255171
Обухівське шосе,39,Kozyn,Obukhiv Raion,Kyivs'ka oblast,08711,Ukraine,50.2266679,30.6439958
Набережная,21,Kyiliv,Boryspil's'kyi district,Kyivs'ka oblast,08354,Ukraine,50.139007,30.8926153
Malovnycha Street,54,Mala Buhaivka,Vasyl'kivs'kyi district,Kyivs'ka oblast,08606,Ukraine,50.2037727,30.3905583
Vulytsya Zaliznychna,26,Skvyra,Skvyrs'kyi district,Kyivs'ka oblast,09000,Ukraine,49.7511888,29.6588845
Kotsiubynskoho Street,2,Tetiiv,Tetiivs'kyi district,Kyivs'ka oblast,09801,Ukraine,49.368687,29.6871626
Vulytsya Hoholya,7,Stavyshche,Stavyshchens'kyi district,Kyivs'ka oblast,09400,Ukraine,49.3855961,30.1937075
улица Щорса,33,Rozhny,Brovars'kyi district,Kyivs'ka oblast,07412,Ukraine,50.6656793,30.7358849
Зарічна,98,Volodarka,Volodars'kyi district,Kyivs'ka oblast,09300,Ukraine,49.5288096,29.9455548